DS_Name, Operacion, TamanoDatos, Tiempo_Ejecucion_ns
SingleLLNoTail,Erase,100,1953
SingleLLNoTail,PopFront,100,417
SingleLLNoTail,PopBack,100,1182
SingleLLWithTail,PushFront,100,447
SingleLLWithTail,PushBack,100,401
SingleLLWithTail,isEmpty,100,440
SingleLLWithTail,AddAfter,100,2207
SingleLLWithTail,AddBefore,100,2980
SingleLLWithTail,Find,100,2024
SingleLLWithTail,Erase,100,1977
SingleLLWithTail,PopFront,100,518
SingleLLWithTail,PopBack,100,1293
DoublyLLNoTail,PushFront,100,430
DoublyLLNoTail,PushBack,100,1117
DoublyLLNoTail,isEmpty,100,369
DoublyLLNoTail,AddAfter,100,2459
DoublyLLNoTail,AddBefore,100,1850
DoublyLLNoTail,Find,100,1650
DoublyLLNoTail,Erase,100,1834
DoublyLLNoTail,PopFront,100,581
DoublyLLNoTail,PopBack,100,985
DoublyLLWithTail,PushFront,100,557
DoublyLLWithTail,PushBack,100,390
DoublyLLWithTail,isEmpty,100,866
DoublyLLWithTail,AddAfter,100,2169
DoublyLLWithTail,AddBefore,100,1845
DoublyLLWithTail,Find,100,1614
DoublyLLWithTail,Erase,100,1791
DoublyLLWithTail,PopFront,100,477
DoublyLLWithTail,PopBack,100,306
Queue,Enqueue,100,536
Queue,Dequeue,100,655
Queue,Delete,100,2315
Queue,Front,100,899
Queue,Size,100,502
Queue,isEmpty,100,279
Stack,Push,100,391
Stack,Pop,100,573
Stack,Delete,100,1713
Stack,Peek,100,449
Stack,Size,100,423
Stack,isEmpty,100,267
SingleLLNoTail,PushFront,500,479
SingleLLNoTail,PushBack,500,3340
SingleLLNoTail,isEmpty,500,455
SingleLLNoTail,AddAfter,500,7297
SingleLLNoTail,AddBefore,500,7847
SingleLLNoTail,Find,500,7236
SingleLLNoTail,Erase,500,7490
SingleLLNoTail,PopFront,500,364
SingleLLNoTail,PopBack,500,3615
SingleLLWithTail,PushFront,500,383
SingleLLWithTail,PushBack,500,415
SingleLLWithTail,isEmpty,500,382
SingleLLWithTail,AddAfter,500,7460
SingleLLWithTail,AddBefore,500,7342
SingleLLWithTail,Find,500,7152
SingleLLWithTail,Erase,500,7220
SingleLLWithTail,PopFront,500,436
SingleLLWithTail,PopBack,500,4077
DoublyLLNoTail,PushFront,500,540
DoublyLLNoTail,PushBack,500,3371
DoublyLLNoTail,isEmpty,500,433
DoublyLLNoTail,AddAfter,500,7849
DoublyLLNoTail,AddBefore,500,7201
DoublyLLNoTail,Find,500,8905
DoublyLLNoTail,Erase,500,7163
DoublyLLNoTail,PopFront,500,488
DoublyLLNoTail,PopBack,500,3263
DoublyLLWithTail,PushFront,500,393
DoublyLLWithTail,PushBack,500,433
DoublyLLWithTail,isEmpty,500,343
DoublyLLWithTail,AddAfter,500,7458
DoublyLLWithTail,AddBefore,500,7077
DoublyLLWithTail,Find,500,18154
DoublyLLWithTail,Erase,500,7019
DoublyLLWithTail,PopFront,500,495
DoublyLLWithTail,PopBack,500,330
Queue,Enqueue,500,475
Queue,Dequeue,500,675
Queue,Delete,500,9105
Queue,Front,500,337
Queue,Size,500,999
Queue,isEmpty,500,382
Stack,Push,500,328
Stack,Pop,500,573
Stack,Delete,500,5948
Stack,Peek,500,294
Stack,Size,500,373
Stack,isEmpty,500,321
SingleLLNoTail,PushFront,750,503
SingleLLNoTail,PushBack,750,5679
SingleLLNoTail,isEmpty,750,406
SingleLLNoTail,AddAfter,750,2684
SingleLLNoTail,AddBefore,750,2780
SingleLLNoTail,Find,750,2421
SingleLLNoTail,Erase,750,2593
SingleLLNoTail,PopFront,750,410
SingleLLNoTail,PopBack,750,5730
SingleLLWithTail,PushFront,750,505
SingleLLWithTail,PushBack,750,509
SingleLLWithTail,isEmpty,750,341
SingleLLWithTail,AddAfter,750,2716
SingleLLWithTail,AddBefore,750,2698
SingleLLWithTail,Find,750,2550
SingleLLWithTail,Erase,750,2698
SingleLLWithTail,PopFront,750,457
SingleLLWithTail,PopBack,750,6706
DoublyLLNoTail,PushFront,750,449
DoublyLLNoTail,PushBack,750,5701
DoublyLLNoTail,isEmpty,750,488
DoublyLLNoTail,AddAfter,750,3348
DoublyLLNoTail,AddBefore,750,2607
DoublyLLNoTail,Find,750,2617
DoublyLLNoTail,Erase,750,2583
DoublyLLNoTail,PopFront,750,679
DoublyLLNoTail,PopBack,750,5502
DoublyLLWithTail,PushFront,750,510
DoublyLLWithTail,PushBack,750,484
DoublyLLWithTail,isEmpty,750,790
DoublyLLWithTail,AddAfter,750,3006
DoublyLLWithTail,AddBefore,750,2475
DoublyLLWithTail,Find,750,2362
DoublyLLWithTail,Erase,750,2561
DoublyLLWithTail,PopFront,750,474
DoublyLLWithTail,PopBack,750,338
Queue,Enqueue,750,817
Queue,Dequeue,750,829
Queue,Delete,750,10836
Queue,Front,750,478
Queue,Size,750,1389
Queue,isEmpty,750,392
Stack,Push,750,534
Stack,Pop,750,586
Stack,Delete,750,8233
Stack,Peek,750,297
Stack,Size,750,360
Stack,isEmpty,750,406
SingleLLNoTail,PushFront,1000,465
SingleLLNoTail,PushBack,1000,6451
SingleLLNoTail,isEmpty,1000,409
SingleLLNoTail,AddAfter,1000,17153
SingleLLNoTail,AddBefore,1000,13043
SingleLLNoTail,Find,1000,12277
SingleLLNoTail,Erase,1000,12517
SingleLLNoTail,PopFront,1000,427
SingleLLNoTail,PopBack,1000,6820
SingleLLWithTail,PushFront,1000,275
SingleLLWithTail,PushBack,1000,522
SingleLLWithTail,isEmpty,1000,345
SingleLLWithTail,AddAfter,1000,11438
SingleLLWithTail,AddBefore,1000,11885
SingleLLWithTail,Find,1000,11061
SingleLLWithTail,Erase,1000,11640
SingleLLWithTail,PopFront,1000,393
SingleLLWithTail,PopBack,1000,8140
DoublyLLNoTail,PushFront,1000,340
DoublyLLNoTail,PushBack,1000,6755
DoublyLLNoTail,isEmpty,1000,473
DoublyLLNoTail,AddAfter,1000,13408
DoublyLLNoTail,AddBefore,1000,12468
DoublyLLNoTail,Find,1000,12336
DoublyLLNoTail,Erase,1000,12143
DoublyLLNoTail,PopFront,1000,549
DoublyLLNoTail,PopBack,1000,6219
DoublyLLWithTail,PushFront,1000,257
DoublyLLWithTail,PushBack,1000,771
DoublyLLWithTail,isEmpty,1000,323
DoublyLLWithTail,AddAfter,1000,12918
DoublyLLWithTail,AddBefore,1000,11822
DoublyLLWithTail,Find,1000,12224
DoublyLLWithTail,Erase,1000,12048
DoublyLLWithTail,PopFront,1000,441
DoublyLLWithTail,PopBack,1000,325
Queue,Enqueue,1000,544
Queue,Dequeue,1000,663
Queue,Delete,1000,13601
Queue,Front,1000,307
Queue,Size,1000,782
Queue,isEmpty,1000,512
Stack,Push,1000,1053
Stack,Pop,1000,668
Stack,Delete,1000,10072
Stack,Peek,1000,268
Stack,Size,1000,360
Stack,isEmpty,1000,391
SingleLLNoTail,PushFront,5000,556
SingleLLNoTail,PushBack,5000,49436
SingleLLNoTail,isEmpty,5000,560
SingleLLNoTail,AddAfter,5000,76983
SingleLLNoTail,AddBefore,5000,80704
SingleLLNoTail,Find,5000,77216
SingleLLNoTail,Erase,5000,86669
SingleLLNoTail,PopFront,5000,720
SingleLLNoTail,PopBack,5000,56230
SingleLLWithTail,PushFront,5000,410
SingleLLWithTail,PushBack,5000,694
SingleLLWithTail,isEmpty,5000,589
SingleLLWithTail,AddAfter,5000,61600
SingleLLWithTail,AddBefore,5000,62153
SingleLLWithTail,Find,5000,59270
SingleLLWithTail,Erase,5000,61370
SingleLLWithTail,PopFront,5000,541
SingleLLWithTail,PopBack,5000,38366
DoublyLLNoTail,PushFront,5000,320
DoublyLLNoTail,PushBack,5000,29297
DoublyLLNoTail,isEmpty,5000,377
DoublyLLNoTail,AddAfter,5000,59923
DoublyLLNoTail,AddBefore,5000,59547
DoublyLLNoTail,Find,5000,59537
DoublyLLNoTail,Erase,5000,60177
DoublyLLNoTail,PopFront,5000,550
DoublyLLNoTail,PopBack,5000,28708
DoublyLLWithTail,PushFront,5000,283
DoublyLLWithTail,PushBack,5000,986
DoublyLLWithTail,isEmpty,5000,526
DoublyLLWithTail,AddAfter,5000,78341
DoublyLLWithTail,AddBefore,5000,77319
DoublyLLWithTail,Find,5000,76922
DoublyLLWithTail,Erase,5000,76794
DoublyLLWithTail,PopFront,5000,774
DoublyLLWithTail,PopBack,5000,503
Queue,Enqueue,5000,1190
Queue,Dequeue,5000,830
Queue,Delete,5000,64206
Queue,Front,5000,536
Queue,Size,5000,620
Queue,isEmpty,5000,428
Stack,Push,5000,914
Stack,Pop,5000,1977
Stack,Delete,5000,69456
Stack,Peek,5000,589
Stack,Size,5000,941
Stack,isEmpty,5000,641
SingleLLNoTail,PushFront,7500,5561
SingleLLNoTail,PushBack,7500,55200
SingleLLNoTail,isEmpty,7500,598
SingleLLNoTail,AddAfter,7500,89132
SingleLLNoTail,AddBefore,7500,91766
SingleLLNoTail,Find,7500,88354
SingleLLNoTail,Erase,7500,94254
SingleLLNoTail,PopFront,7500,536
SingleLLNoTail,PopBack,7500,47616
SingleLLWithTail,PushFront,7500,299
SingleLLWithTail,PushBack,7500,538
SingleLLWithTail,isEmpty,7500,458
SingleLLWithTail,AddAfter,7500,89682
SingleLLWithTail,AddBefore,7500,93150
SingleLLWithTail,Find,7500,87190
SingleLLWithTail,Erase,7500,93829
SingleLLWithTail,PopFront,7500,498
SingleLLWithTail,PopBack,7500,57195
DoublyLLNoTail,PushFront,7500,593
DoublyLLNoTail,PushBack,7500,48152
DoublyLLNoTail,isEmpty,7500,833
DoublyLLNoTail,AddAfter,7500,81998
DoublyLLNoTail,AddBefore,7500,81246
DoublyLLNoTail,Find,7500,83075
DoublyLLNoTail,Erase,7500,82183
DoublyLLNoTail,PopFront,7500,492
DoublyLLNoTail,PopBack,7500,42839
DoublyLLWithTail,PushFront,7500,486
DoublyLLWithTail,PushBack,7500,1157
DoublyLLWithTail,isEmpty,7500,345
DoublyLLWithTail,AddAfter,7500,88552
DoublyLLWithTail,AddBefore,7500,85688
DoublyLLWithTail,Find,7500,86741
DoublyLLWithTail,Erase,7500,87200
DoublyLLWithTail,PopFront,7500,551
DoublyLLWithTail,PopBack,7500,271
Queue,Enqueue,7500,558
Queue,Dequeue,7500,1714
Queue,Delete,7500,95284
Queue,Front,7500,356
Queue,Size,7500,898
Queue,isEmpty,7500,392
Stack,Push,7500,294
Stack,Pop,7500,892
Stack,Delete,7500,70974
Stack,Peek,7500,329
Stack,Size,7500,297
Stack,isEmpty,7500,413
SingleLLNoTail,PushFront,10000,361
SingleLLNoTail,PushBack,10000,62117
SingleLLNoTail,isEmpty,10000,484
SingleLLNoTail,AddAfter,10000,117217
SingleLLNoTail,AddBefore,10000,124478
SingleLLNoTail,Find,10000,117354
SingleLLNoTail,Erase,10000,124467
SingleLLNoTail,PopFront,10000,471
